note,note2,category,model_results,rmse,filename
Thisisathirdtest,Thisisathirdtest,Vasculature,,0.2691,0.1967,Sample2_0.2_radial.csv
Thisisathirdtest,Thisisathirdtest,Vasculature,,0.2925,0.1359,Sample1_0.2_radial.csv
Thisisathirdtest,Thisisathirdtest,Vasculature,,2.3998,0.7618,Sample3_0.2_circumferential.csv
